"title","views","url","id","dateCreated","lastThirty"
"View a Purchase Order","4080","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/view-a-purchase-order","2283","Thu, 02 Apr 2015 18:12:26 GMT",171
"Use Bulk Actions > Edit in the Submittals Tool","4080","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/use-bulk-actions-edit-in-the-submittals-tool","23982","Thu, 07 Sep 2017 19:14:05 GMT",87
"Apply the View, Snapshot, Group, and Filter Options on a Budget View","4060","https://support.procore.com/products/online/user-guide/project-level/budget/tutorials/apply-the-view-snapshot-group-and-filter-options-on-a-budget-view","10538","Wed, 07 Sep 2016 20:32:28 GMT",62
"Mass Review Submittals in a Package","4059","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/mass-review-the-submittals-in-a-package-with-submittal-workflow","939","Mon, 02 Feb 2015 19:33:01 GMT",48
"Add an Existing User to Projects in Your Company's Procore Account","4058","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/add-an-existing-user-to-projects-in-your-companys-procore-account","32379","Thu, 12 Apr 2018 21:01:17 GMT",127
"Unlink Commitments Synced with Sage 300 CRE®","4043","https://support.procore.com/integrations/sage-300-cre/tutorials/unlink-commitments-synced-with-sage-300-cre","45556","Fri, 25 Jan 2019 18:18:55 GMT",95
"Edit a Commitment","4027","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/edit-a-commitment","2328","Wed, 08 Apr 2015 18:24:19 GMT",45
"View the Project Directory","4020","https://support.procore.com/products/online/user-guide/project-level/directory/tutorials/view-the-project-directory","2644","Mon, 11 May 2015 20:18:37 GMT",90
"Set Up and Manage Your Favorites","4018","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/setup-and-manage-your-favorites","22356","Wed, 26 Jul 2017 20:17:49 GMT",94
"View and Manage Daily Logs in the Calendar View","4015","https://support.procore.com/products/online/user-guide/project-level/daily-log/tutorials/view-and-manage-daily-logs-in-the-calendar-view","49702","Mon, 15 Apr 2019 16:51:07 GMT",76
"Enable Security Settings for Logins, Passwords, and Session Timeout Intervals","4005","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/enable-security-settings-for-logins-passwords-and-session-timeout-intervals","9658","Thu, 04 Aug 2016 23:09:20 GMT",158
"Star Previous Minutes","3996","https://support.procore.com/products/online/user-guide/project-level/meetings/tutorials/star-previous-minutes","28869","Fri, 02 Feb 2018 23:16:09 GMT",77
"Associate a Model with a Procore Project","3986","https://support.procore.com/products/online/user-guide/project-level/models/tutorials/associate-a-model-with-a-procore-project","47937","Fri, 08 Mar 2019 22:07:38 GMT",118
"Reply to an Email Sent from the Emails Tool","3978","https://support.procore.com/products/online/user-guide/project-level/emails/tutorials/reply-to-an-email-sent-from-the-emails-tool","1431","Fri, 20 Feb 2015 00:03:35 GMT",37
"View Prime Contracts","3978","https://support.procore.com/products/online/user-guide/project-level/prime-contracts/tutorials/view-prime-contracts","2189","Mon, 23 Mar 2015 22:56:48 GMT",87
"Edit a Project Level Inspection Template","3971","https://support.procore.com/products/online/user-guide/project-level/inspections/tutorials/edit-a-project-level-inspection-template","12649","Wed, 21 Dec 2016 18:13:38 GMT",69
"Switch Between Financial Views","3968","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/switch-between-financial-views","8053","Wed, 01 Jun 2016 18:18:08 GMT",380
"Add a Related Item to an RFI","3962","https://support.procore.com/products/online/user-guide/project-level/rfi/tutorials/add-a-related-item-to-an-rfi","2191","Mon, 23 Mar 2015 23:43:25 GMT",65
